标题,参考价,京东价,京东链接,产品图片,产品参数,存储容量,硬盘尺寸,接口类型,缓存,读取速度,写入速度,平均寻道时间,平均无故障时间
机械师星辰X7（1TB）,459,479.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10091547573285.html,https://2e.zol-img.com.cn/product/271_320x240/552/ceSXAGi4Oo1hI.png,"存储容量：1TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7200MB/s
写入速度：6400MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,2280,M.2 PCIe接口,无缓存,7200MB/s,6400MB/s,暂无数据,150万小时
金邦P4S 512GB,459,587.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100046530342.html,https://2b.zol-img.com.cn/product/259_320x240/121/ceP66xp03DZAw.png,"存储容量：512GB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：6900MB/s
写入速度：4500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,M.2 2280,M.2 PCIe接口,暂无数据,6900MB/s,4500MB/s,暂无数据,暂无数据
海康威视E2000Lite（512GB）,459,199.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/71917301016.html,https://2a.zol-img.com.cn/product/229_320x240/246/cet5dnHZXaoRw.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2100MB/s
写入速度：1800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,2100MB/s,1800MB/s,暂无数据,暂无数据
海康威视DK4000 1TB,459,529.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10094918469931.html,https://2f.zol-img.com.cn/product/259_320x240/931/ce7sIAl9y6Lqw.png,"存储容量：1TB
硬盘尺寸：M.2230
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：4900MB/s
写入速度：3300MB/s
平均无故障时间：200万小时
平均寻道时间：暂无数据",1TB,M.2230,M.2 PCIe接口,无缓存,4900MB/s,3300MB/s,暂无数据,200万小时
影驰擎 PRO PCI-E 2280 M.2（512GB）,459,,,https://2e.zol-img.com.cn/product/225_320x240/486/cesFdvek8EoE.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2500MB/s
写入速度：2000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,2500MB/s,2000MB/s,暂无数据,暂无数据
腾隐TP4000（1TB）,459,398.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10072033995777.html,https://2e.zol-img.com.cn/product/235_320x240/286/ceZKxcNTDdTI.jpg,"存储容量：1TB
硬盘尺寸：长80mm；宽22mm；高3.65mm
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：5000MB/s
写入速度：4500MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,长80mm；宽22mm；高3.65mm,M.2 PCIe接口,暂无数据,5000MB/s,4500MB/s,暂无数据,150万小时
长江存储·致态Ti600 1TB,459,419.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100068720859.html,https://2b.zol-img.com.cn/product/253_320x240/113/ce1VVsW4tofw.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口（Gen4）
缓存：暂无数据
读取速度：7000MB/s
写入速度：6000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口（Gen4）,暂无数据,7000MB/s,6000MB/s,暂无数据,150万小时
MOVESPEED（移速）雪豹 M.2 NVMe（1TB）,459,,,https://2d.zol-img.com.cn/product/225_320x240/355/ce0QMpRySAcoU.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：7400MB/s
写入速度：5500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,1GB,7400MB/s,5500MB/s,暂无数据,暂无数据
Zheino CHN-NGFFSA2280-512（512GB）,468,,,https://2f.zol-img.com.cn/product/203_320x240/779/ceEKTHulVSxcE.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：540MB/s
写入速度：490MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,540MB/s,490MB/s,暂无数据,暂无数据
希捷酷玩520（1TB）,469,439.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100050752010.html,https://2e.zol-img.com.cn/product/269_320x240/578/ceVS5DjGZrp2w.jpg,"存储容量：1TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：5000MB/s
写入速度：4850MB/s
平均无故障时间：180万小时
平均寻道时间：暂无数据",1TB,2280,M.2 PCIe接口,暂无数据,5000MB/s,4850MB/s,暂无数据,180万小时
海康威视C2000 ECO（1TB）,469,,,https://2a.zol-img.com.cn/product/224_320x240/322/cezeytkedXAKY.png,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：3010MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,3010MB/s,暂无数据,150万小时
佰维NV7400 1TB,469,479.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100078438943.html,https://2f.zol-img.com.cn/product/260_320x240/25/ceMBu3kCqBEaU.png,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7400MB/s
写入速度：6500MB/s
平均无故障时间：200万小时
平均寻道时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,无缓存,7400MB/s,6500MB/s,暂无数据,200万小时
佰维NV3500 1TB,469,389.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10093793626287.html,https://2f.zol-img.com.cn/product/260_320x240/37/ceYiJpRRDS2nc.png,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3500MB/s
写入速度：3000MB/s
平均无故障时间：200万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,无缓存,3500MB/s,3000MB/s,暂无数据,200万小时
梵想S600（500GB）,469,,,https://2d.zol-img.com.cn/product/222_320x240/639/ceRHW4zc0qzAw.jpg,"存储容量：500GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：5000MB/s
写入速度：2500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",500GB,暂无数据,M.2 PCIe接口,暂无数据,5000MB/s,2500MB/s,暂无数据,暂无数据
致钛PC005 Active（1TB）,469,,,https://2e.zol-img.com.cn/product/222_320x240/540/ceuShUMjw9tZA.png,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：512MB
读取速度：3500MB/s
写入速度：2900MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,512MB,3500MB/s,2900MB/s,暂无数据,150万小时
创见MTE110S（512GB）,469,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/62721671305.html,https://2b.zol-img.com.cn/product/225_320x240/161/ceMbXUjDV8no.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1800MB/s
写入速度：1500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,1800MB/s,1500MB/s,暂无数据,暂无数据
希捷酷鱼 530（1TB）,469,489.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100114933120.html,https://2f.zol-img.com.cn/product/270_320x240/79/ceQNfpy1AyFzI.png,"存储容量：1TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7400MB/s
写入速度：6400MB/s
平均无故障时间：180万小时
平均寻道时间：暂无数据",1TB,2280,M.2 PCIe接口,无缓存,7400MB/s,6400MB/s,暂无数据,180万小时
阿斯加特AN系列M.2（512GB）,469,,,https://2c.zol-img.com.cn/product/194_320x240/392/ceHxNN1KJhRkg.jpg,"存储容量：512GB
硬盘尺寸：M.2-2280
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1775MB/s
写入速度：560MB/s
平均无故障时间：160万小时
平均寻道时间：暂无数据",512GB,M.2-2280,M.2 PCIe接口,暂无数据,1775MB/s,560MB/s,暂无数据,160万小时
Lexar（雷克沙）NM710 1TB,469,378.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10065099339587.html,https://2d.zol-img.com.cn/product/227_320x240/583/ceXesV2qLxFQQ.png,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：5000MB/s
写入速度：4500MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,5000MB/s,4500MB/s,暂无数据,150万小时
龟甲T3000（512GB）,469,,,https://2e.zol-img.com.cn/product/225_320x240/936/ceINwpaOgjFkY.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：256MB
读取速度：3200MB/s
写入速度：2000MB/s
平均寻道时间：0.5ms
平均无故障时间：180万小时",512GB,暂无数据,M.2 PCIe接口,256MB,3200MB/s,2000MB/s,0.5ms,180万小时
紫光P5160（512GB）,469,,,https://2b.zol-img.com.cn/product/203_320x240/793/ceFloE5xxmM.jpg,"存储容量：512GB
硬盘尺寸：2.5英寸
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：2200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,2.5英寸,M.2 PCIe接口,暂无数据,3500MB/s,2200MB/s,暂无数据,暂无数据
光威Premium M.2（512GB）,469,,,https://2f.zol-img.com.cn/product/225_320x240/439/cer8eMHylrnZo.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：512MB
读取速度：3300MB/s
写入速度：2000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,512MB,3300MB/s,2000MB/s,暂无数据,150万小时
Acer 掠夺者 GM3500（512GB）,469,,,https://2f.zol-img.com.cn/product/225_320x240/243/cekCw7dOBqfs.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3400MB/s
写入速度：2400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,3400MB/s,2400MB/s,暂无数据,暂无数据
威刚XPG SX8200 Pro M.2 2280（512GB）,469,,,https://2e.zol-img.com.cn/product/204_320x240/658/cehueu7LGb28g.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：3000MB/s
平均寻道时间：0.5ms
平均无故障时间：200万小时",512GB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,3000MB/s,0.5ms,200万小时
金杉NGFF-1TB,473,473.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10091138128386.html,https://2e.zol-img.com.cn/product/271_320x240/60/ce2qHd4ZDYz8k.png,"存储容量：1TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：490MB/s
写入速度：540MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,2280,M.2 PCIe接口,无缓存,490MB/s,540MB/s,暂无数据,暂无数据
储侠C5000 1TB,479,469.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10097042144996.html,https://2d.zol-img.com.cn/product/262_320x240/549/cekuT5KJmrCj6.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：5000MB/s
写入速度：5000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,无缓存,5000MB/s,5000MB/s,暂无数据,暂无数据
联想SPEEO UP M.2 NGFF 2280（120GB）,479,,,https://2d.zol-img.com.cn/product/201_320x240/613/ce3BnzRftXAMI.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口（NGFF 2280）
缓存：暂无数据
读取速度：530MB/s
写入速度：420MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口（NGFF 2280）,暂无数据,530MB/s,420MB/s,暂无数据,暂无数据
铠侠RD10（500GB）,479,,,https://2f.zol-img.com.cn/product/205_320x240/421/ceaCoAoO2Redo.jpg,"存储容量：500GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：512MB
读取速度：3400MB/s
写入速度：2500MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",500GB,暂无数据,M.2 PCIe接口,512MB,3400MB/s,2500MB/s,暂无数据,150万小时
大华C900（512GB）,479,,,https://2e.zol-img.com.cn/product/225_320x240/8/cecqZ7Dw1f0Bs.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1950MB/s
写入速度：1550MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,无缓存,1950MB/s,1550MB/s,暂无数据,150万小时
BORY NVME M.2（512GB）,479,,,https://2f.zol-img.com.cn/product/199_320x240/855/ceNGwleQ1HKYU.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：暂无数据
写入速度：暂无数据
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
金士顿NV2 NVMe（1TB）,479,397.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/60767633356.html,https://2b.zol-img.com.cn/product/223_320x240/103/cecSGmp0PY7Y.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：2100MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,2100MB/s,暂无数据,暂无数据
ST-magic SX2513（512GB）,479,,,https://2c.zol-img.com.cn/product/206_320x240/964/ceNfaqEt5k6t2.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2400MB/s
写入速度：1550MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,2400MB/s,1550MB/s,暂无数据,暂无数据
雷克沙NM500 M.2（512GB）,479,,,https://2c.zol-img.com.cn/product/196_320x240/274/ce87COz6wi2t2.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1650MB/s
写入速度：1000MB/s
平均寻道时间：0.5ms
平均无故障时间：150万小时",512GB,暂无数据,M.2 PCIe接口,暂无数据,1650MB/s,1000MB/s,0.5ms,150万小时
影驰星曜 M.2 SSD（512GB）,479,,,https://2e.zol-img.com.cn/product/225_320x240/318/ceaV2FuwUKCw2.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3300MB/s
写入速度：2300MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,3300MB/s,2300MB/s,暂无数据,暂无数据
联想SL7000（1TB）,479,429.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10067599582965.html,https://2e.zol-img.com.cn/product/227_320x240/562/ceEjsfjQRhw2.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：5000MB/s
写入速度：4500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,5000MB/s,4500MB/s,暂无数据,暂无数据
Intel 670p M.2（512GB）,479,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/46594734143.html,https://2c.zol-img.com.cn/product/225_320x240/560/ceyE3vEZIS0Y.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：2700MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,2700MB/s,暂无数据,暂无数据
大华C900 PRO（256GB）,479,,,https://2c.zol-img.com.cn/product/225_320x240/60/cezCCjfl8846.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3400MB/s
写入速度：1300MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,无缓存,3400MB/s,1300MB/s,暂无数据,150万小时
惠普FX900 Plus 1TB,479,509.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100052825895.html,https://2d.zol-img.com.cn/product/259_320x240/525/ceIKNDDWwOsVo.png,"存储容量：1TB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7100MB/s
写入速度：6300MB/s
平均无故障时间：200万小时
平均寻道时间：暂无数据",1TB,M.2 2280,M.2 PCIe接口,无缓存,7100MB/s,6300MB/s,暂无数据,200万小时
朗科绝影NV7000-t （1TB）,479,439.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100059750073.html,https://2e.zol-img.com.cn/product/256_320x240/590/ceXfjTKhagLKU.png,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7300MB/s
写入速度：6600MB/s
平均无故障时间：640万小时
平均寻道时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,无缓存,7300MB/s,6600MB/s,暂无数据,640万小时
金胜维XF 1TB 2230,479,469.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100075612831.html,https://2d.zol-img.com.cn/product/259_320x240/569/ceL1aVo2eqPvI.png,"存储容量：1TB
硬盘尺寸：M.2 2230
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：5000MB/s
写入速度：4500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,M.2 2230,M.2 PCIe接口,无缓存,5000MB/s,4500MB/s,暂无数据,暂无数据
移速猎豹 1TB,479,,,https://2f.zol-img.com.cn/product/259_320x240/787/celWdxHKP4BVo.jpg,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：1GB
读取速度：7450MB/s
写入速度：6500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,1GB,7450MB/s,6500MB/s,暂无数据,暂无数据
士必得P8 M.2 NVME（512GB）,479,,,https://2e.zol-img.com.cn/product/208_320x240/346/ce1mfabOdJOBc.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1700MB/s
写入速度：960MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,1700MB/s,960MB/s,暂无数据,暂无数据
幻隐HV2000 2.5英寸 NVMe PCIe（1TB）,479,499.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059529943423.html,https://2a.zol-img.com.cn/product/225_320x240/472/ceAPTDwU8jBAA.png,"存储容量：1TB
硬盘尺寸：2.5英寸
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：2100MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,2.5英寸,M.2 PCIe接口,暂无数据,1500MB/s,2100MB/s,暂无数据,暂无数据
七彩虹CN700 PLUS 1TB,479,375.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10090598928694.html,https://2e.zol-img.com.cn/product/258_320x240/318/ceNaGucZhQ1a2.png,"存储容量：1TB
硬盘尺寸：长80mm；宽22mm
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：4700MB/s
写入速度：2900MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,长80mm；宽22mm,M.2 PCIe接口,无缓存,4700MB/s,2900MB/s,暂无数据,暂无数据
铨兴N701  2TB,479,769.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10080393628565.html,https://2c.zol-img.com.cn/product/258_320x240/688/ceZ00pD7msNts.png,"存储容量：2TB
硬盘尺寸：长80mm；宽22mm；高2mm
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7450MB/s
写入速度：6600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",2TB,长80mm；宽22mm；高2mm,M.2 PCIe接口,无缓存,7450MB/s,6600MB/s,暂无数据,暂无数据
光威弈Pro M.2（512GB）,485,,,https://2b.zol-img.com.cn/product/207_320x240/447/cezWkXylQtM.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：512MB
读取速度：3500MB/s
写入速度：2100MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,512MB,3500MB/s,2100MB/s,暂无数据,暂无数据
长城GT35（1TB）,488,399.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10068205541952.html,https://2e.zol-img.com.cn/product/232_320x240/778/ceGGQxywFPBKI.png,"存储容量：1TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：3200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",1TB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,3200MB/s,暂无数据,暂无数据
悉硕XS990（512GB）,488,,,https://2b.zol-img.com.cn/product/209_320x240/987/ceXDRowY8rpog.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：3100MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,3100MB/s,暂无数据,暂无数据
台电幻影NP900C M.2（480GB）,489,,,https://2d.zol-img.com.cn/product/193_320x240/829/cevhqvrt9vpqk.jpg,"存储容量：480GB
硬盘尺寸：M.2-2280
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1800MB/s
写入速度：1500MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",480GB,M.2-2280,M.2 PCIe接口,暂无数据,1800MB/s,1500MB/s,暂无数据,150万小时
西部数据SN7100（1TB）,489,498.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10129484446597.html,https://2f.zol-img.com.cn/product/271_320x240/265/ceuw8p8o5lIo.jpg,"存储容量：1TB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：7250MB/s
写入速度：6900MB/s
平均无故障时间：175万小时
平均寻道时间：暂无数据",1TB,2280,M.2 PCIe接口,无缓存,7250MB/s,6900MB/s,暂无数据,175万小时
海康威视C2000 lite M.2（512GB）,489,209.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/69826912117.html,https://2a.zol-img.com.cn/product/225_320x240/946/ce3oWATMMpOPc.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2000MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,2000MB/s,1200MB/s,暂无数据,暂无数据
金士顿KC3000（512GB）,489,439.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100028963524.html,https://2c.zol-img.com.cn/product/222_320x240/150/cezhJZjKDI7xo.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：7000MB/s
写入速度：3900MB/s
平均无故障时间：180万小时
平均寻道时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,7000MB/s,3900MB/s,暂无数据,180万小时
台电稳影300A 1TB,498,399.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100085748610.html,https://2a.zol-img.com.cn/product/260_320x240/8/ceHcS0B9mXaMA.png,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3200MB/s
写入速度：2800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,无缓存,3200MB/s,2800MB/s,暂无数据,暂无数据
光威Basic+（2TB）,498,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100045209632.html,https://2b.zol-img.com.cn/product/234_320x240/477/ce0jbaWn0dXIk.png,"存储容量：2TB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：2500MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",2TB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,2500MB/s,暂无数据,150万小时
三星990 EVO Plus(1TB),498,559.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100120261303.html,https://2a.zol-img.com.cn/product/270_320x240/966/ce14rhhoLZJM.jpg,"存储容量：1TB
硬盘尺寸：M.2-2280
接口类型：M.2 PCIe接口
缓存：HMB
读取速度：7250MB/s
写入速度：6300MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",1TB,M.2-2280,M.2 PCIe接口,HMB,7250MB/s,6300MB/s,暂无数据,150万小时
金胜EN800（480GB）,499,,,https://2a.zol-img.com.cn/product/198_320x240/36/cedveQShsvr1Y.jpg,"存储容量：480GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",480GB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,500MB/s,暂无数据,暂无数据
梵想S505（512GB）,499,,,https://2b.zol-img.com.cn/product/225_320x240/717/ce2MFDdp6p9R2.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：512MB
读取速度：3500MB/s
写入速度：2500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,512MB,3500MB/s,2500MB/s,暂无数据,暂无数据
