标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,内存容量,内存类型,内存主频
金士顿FURY Beast 16GB DDR5 5600 白色款,389,369.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100048118514.html,https://2b.zol-img.com.cn/product/247_320x240/685/ceyyDktpQIo3c.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
光威神策RGB系列 DDR5 6400 32GB(16GB×2),819,869.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100068836644.html,https://2e.zol-img.com.cn/product/259_320x240/800/ceO5T5Sxsls.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
紫光御紫 8GB DDR4 3200,215,,,https://2e.zol-img.com.cn/product/208_320x240/908/ce45JJTeGjefk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
海盗船复仇者RGB 16GB DDR4 3000（CMR16GX4M2C3000C15）,1399,,,https://2a.zol-img.com.cn/product/181_320x240/946/ce3YPO30vto2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
佰维DW100 时空行者 DDR5 8000 32GB（2×16GB）,849,949.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100149659180.html,https://2f.zol-img.com.cn/product/270_320x240/65/ce4D2gJyzAyRQ.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",台式机,暂无数据,DDR5,8000MHz
光威龙武系列 DDR5 7200 C34 32GB(16GB×2),1199,859.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100092743592.html,https://2f.zol-img.com.cn/product/259_320x240/713/ceAfS2ByPuDQ.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
光威龙武系列 DDR5 7200 C36 48GB(24GB×2),1399,1199.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100088309788.html,https://2f.zol-img.com.cn/product/259_320x240/713/ceAfS2ByPuDQ.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
科赋CRAS X RGB 8GB DDR4 3200,319,,,https://2e.zol-img.com.cn/product/226_320x240/120/ce6CoWbOjJfL6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
三星16GB DDR4 2666,899,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100004290303.html,https://2d.zol-img.com.cn/product/194_320x240/247/ceBVERK0hm5mQ.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
紫光藏刃 8GB DDR4 3200（笔记本）,199,,,https://2f.zol-img.com.cn/product/216_320x240/885/ceW38jdjuRvM.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
玖合4GB DDR4 2400,119,,,https://2a.zol-img.com.cn/product/193_320x240/514/ceXH9KprPwR7.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
威刚XPG 龙耀D50 16GB（2×8GB）DDR4 3200,759,309.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014395872.html,https://2b.zol-img.com.cn/product/226_320x240/109/cemCOaa7Lk4Uc.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
美商海盗船复仇者 DDR5 6400 32GB（2×16GB）C36,3899,829.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100059054451.html,https://2e.zol-img.com.cn/product/270_320x240/476/cefb5meRd5uMA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
美商海盗船复仇者 DDR5 6400 32GB（2×16GB）C32,839,889.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100047850834.html,https://2e.zol-img.com.cn/product/270_320x240/476/cefb5meRd5uMA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
美商海盗船复仇者 DDR5 6400 32GB C32,849,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100136250698.html,https://2e.zol-img.com.cn/product/270_320x240/476/cefb5meRd5uMA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
美商海盗船复仇者 DDR5 6400 64GB（2×32GB）C32,1699,1999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100055826869.html,https://2e.zol-img.com.cn/product/270_320x240/476/cefb5meRd5uMA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
美商海盗船复仇者 DDR5 6400 96GB（2×48GB）C32,2899,2899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100053590498.html,https://2e.zol-img.com.cn/product/270_320x240/476/cefb5meRd5uMA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
方正4GB DDR3 1600（台式机）,99,,,https://2b.zol-img.com.cn/product/214_320x240/395/ce4QpVxcMuy2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
光威弈Pro 16GB DDR4 2666马甲条,459,,,https://2d.zol-img.com.cn/product/208_320x240/657/ce1CjFXllZX92.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
七彩虹天蝎座 DDR4 3200 32GB（2×16GB）,339,279.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100105320526.html,https://2c.zol-img.com.cn/product/269_320x240/996/cenLhtf6k18g2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
玖合精英 16GB DDR4 2400（笔记本）,455,,,https://2c.zol-img.com.cn/product/202_320x240/106/ceehYzpjSI1Y.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",笔记本,暂无数据,DDR4,2400MHz
AIRDISK 8GB DDR4 3200（笔记本）,189,,,https://2d.zol-img.com.cn/product/216_320x240/953/ceQDVsYKM8YU.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
影驰GAMER BLUE 16GB（2×8GB）DDR4 3200,599,,,https://2d.zol-img.com.cn/product/221_320x240/755/ceq5umltJm98M.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
威刚XPG威龙 16GB DDR4 2400,669,,,https://2d.zol-img.com.cn/product/179_320x240/103/ceBSAAShaUpgw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
光威TYPE-a 8GB DDR4 3000,699,,,https://2b.zol-img.com.cn/product/193_320x240/523/ceeo9QSFQlwa2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
来酷8GB DDR4 3200台式机内存,115,79.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100060420579.html,https://2d.zol-img.com.cn/product/268_320x240/543/ceGK1Y1VebYg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
Acer宏碁 Hermes冰刃系列 48G(24G×2) DDR5 7200 C36,1999,,,https://2f.zol-img.com.cn/product/256_320x240/147/cexCMfvX9zoqc.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
金士顿8GB DDR5 4800笔记本内存条,239,,,https://2e.zol-img.com.cn/product/258_320x240/434/cetNUBbvwXfjA.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",笔记本,暂无数据,DDR5,4800MHz
金士顿16GB DDR5 4800笔记本内存条,429,,,https://2f.zol-img.com.cn/product/258_320x240/435/ceq3OWPAoyW56.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金士顿16GB(8G×2) DDR5 4800笔记本内存条,479,,,https://2b.zol-img.com.cn/product/258_320x240/437/celzlm1Mgd8k.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金士顿32GB DDR5 4800笔记本内存条,749,649.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100037315640.html,https://2f.zol-img.com.cn/product/258_320x240/435/ceq3OWPAoyW56.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金士顿32GB(16G×2) DDR5 4800笔记本内存条,799,,,https://2f.zol-img.com.cn/product/258_320x240/435/ceq3OWPAoyW56.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金士顿64GB(32G×2) DDR5 4800笔记本内存条,1499,,,https://2f.zol-img.com.cn/product/258_320x240/435/ceq3OWPAoyW56.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
协德勇者系列 4GB DDR3 1600（仅适用AMD处理器）,89,,,https://2f.zol-img.com.cn/product/198_320x240/491/ceO6LDf6gL6pM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
xingyixin（星亿芯）ddr4 2133 8g ddr4 2133 8g,149,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/62920502109.html,https://2e.zol-img.com.cn/product/229_320x240/660/cevFR3ISZIRRA.jpg,"适用类型：288-pin ddr4 sdram
内存容量：暂无数据
内存类型：暂无数据
内存主频：暂无数据",288-pin ddr4 sdram,暂无数据,暂无数据,暂无数据
科赋Cras X 16GB（2×8GB）DDR4 3600,729,,,https://2d.zol-img.com.cn/product/226_320x240/901/ce8o6YU1UFtDw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
雷克沙4GB DDR4 2666（台式机）,109,,,https://2e.zol-img.com.cn/product/226_320x240/344/cejYhtB9zu5EI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
威刚XPG 龙耀D50 16GB（2×8GB）DDR4 3600,899,,,https://2c.zol-img.com.cn/product/225_320x240/688/ceVy8xzXHXlqg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
Team Delta RGB 8GB DDR4 3000,299,,,https://2f.zol-img.com.cn/product/205_320x240/553/ce4E2GmTkPUzI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
索奈特4GB DDR3 1600（台式机）,75,29.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68648477609.html,https://2b.zol-img.com.cn/product/226_320x240/337/ceJpUqynIZjU.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
芝奇幻光戟 64GB（2×32GB）DDR4 3600（F4-3600C18D-64GTZR）,2699,1999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100015276662.html,https://2f.zol-img.com.cn/product/226_320x240/715/cekzS1kEHi7Bs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
金士顿骇客神条FURY 128GB（4×32GB）DDR4 3200,5099,1899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100008221061.html,https://2f.zol-img.com.cn/product/207_320x240/387/cetq6Ri039d2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金泰克磐虎 4GB DDR4 2400,119,,,https://2c.zol-img.com.cn/product/188_320x240/192/ceX6qyYeVSEM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
协德海力士芯片8GB DDR4 2400,229,,,https://2b.zol-img.com.cn/product/197_320x240/585/cexxtpUtuoZw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
金百达星刃 DDR5 6400 96GB(48GBx2),2299,2199.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100098457960.html,https://2e.zol-img.com.cn/product/259_320x240/24/ceaGX8sp1pU.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
金胜维8GB DDR3 1600（台式机）,175,59.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/28486583445.html,https://2f.zol-img.com.cn/product/198_320x240/41/ceXitH99TaLeg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
酷兽剑齿虎 16GB（2×8GB）DDR4 3200 RGB,459,238.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10022887254305.html,https://2f.zol-img.com.cn/product/226_320x240/75/ce2gRHKOJ1bmI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
海盗船统治者铂金RGB 32GB（2×16GB）DDR5 5200,4399,,,https://2c.zol-img.com.cn/product/221_320x240/252/ceQLR6dRhC7dE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5200MHz",台式机,暂无数据,DDR5,5200MHz
协德16GB DDR4 2666,469,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/41394215733.html,https://2d.zol-img.com.cn/product/197_320x240/661/ceO9S8lmorBJ2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威TYPE-α 8GB DDR4 2666,179,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/8195234.html,https://2c.zol-img.com.cn/product/197_320x240/136/cedjfda4mG7A.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
金胜维4GB DDR3 1600（台式机）,95,39.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/28486583444.html,https://2a.zol-img.com.cn/product/198_320x240/30/cewRmoSD6W8.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
协德海力士芯片4GB DDR4 2400,99,,,https://2d.zol-img.com.cn/product/197_320x240/575/ceZEg4ilCcP8c.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
金百达星刃白 32GB（2×16GB）DDR5 6000,799,849.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100127255588.html,https://2b.zol-img.com.cn/product/270_320x240/283/ceM9nd5B5SLTU.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
十铨科技开创者  16GB DDR5 5600,359,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10085913183978.html,https://2b.zol-img.com.cn/product/256_320x240/437/cekWwFhRxj8E6.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
光威TYPE-a 8GB DDR4 3200,259,,,https://2d.zol-img.com.cn/product/213_320x240/7/cebKBu7fXUs9o.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
酷兽夜枭 16GB（2×8GB）DDR4 3600,499,,,https://2c.zol-img.com.cn/product/226_320x240/582/cePtBGZLNMQl2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
影驰星曜 DDR5 6000 32GB(16GBx2),759,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10070737144758.html,https://2e.zol-img.com.cn/product/259_320x240/668/ceqYYF5s2811c.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
影驰星曜 DDR5 6200 32GB(16GBx2),779,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10071514949038.html,https://2e.zol-img.com.cn/product/259_320x240/668/ceqYYF5s2811c.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6200MHz",台式机,暂无数据,DDR5,6200MHz
影驰星曜 DDR5 6400 32GB(16GBx2),859,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10070737144761.html,https://2e.zol-img.com.cn/product/259_320x240/668/ceqYYF5s2811c.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
影驰星曜 DDR5 6800 32GB(16GBx2),879,669.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10070737144762.html,https://2e.zol-img.com.cn/product/259_320x240/668/ceqYYF5s2811c.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
宇瞻经典普条  DDR4 2666 16GB,669,,,https://2b.zol-img.com.cn/product/196_320x240/977/ce9uSlzhgurs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
协德勇者系列 4GB DDR3 1333,89,26.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10109325468.html,https://2c.zol-img.com.cn/product/198_320x240/198/ceq74I858yOk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1333MHz",台式机,暂无数据,DDR3,1333MHz
Team 梦境 16GB（2×8GB）DDR4 4000,899,,,https://2e.zol-img.com.cn/product/226_320x240/8/cePgJt8TFeCrg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：4000MHz",台式机,暂无数据,DDR4,4000MHz
芝奇Ripjaws 2400 8GB（F4-2400C16S-8GRS）,499,,,https://2f.zol-img.com.cn/product/198_320x240/661/ceQ4mkI7B0SXs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
海盗船复仇者 32GB DDR4 2666（笔记本）,1099,469.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100005642605.html,https://2d.zol-img.com.cn/product/226_320x240/37/cehaasVdHXtpg.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
金邦巨蟹 DDR5 6200 24GB,389,,,https://2c.zol-img.com.cn/product/259_320x240/442/cez8kob6G9Qk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6200MHz",台式机,暂无数据,DDR5,6200MHz
金邦巨蟹 DDR5 6400 24GB,429,449.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10097040441354.html,https://2c.zol-img.com.cn/product/259_320x240/442/cez8kob6G9Qk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
金邦巨蟹 RGB DDR5 6000 24GB,399,439.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10126513531447.html,https://2a.zol-img.com.cn/product/259_320x240/464/ceHvgXMO8ftwg.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金邦巨蟹 RGB DDR5 6400 24GB,439,449.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10097097775414.html,https://2a.zol-img.com.cn/product/259_320x240/464/ceHvgXMO8ftwg.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
金邦巨蟹 RGB DDR5 7200 24GB,909,,,https://2a.zol-img.com.cn/product/259_320x240/464/ceHvgXMO8ftwg.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
金邦巨蟹 RGB DDR5 8000 24GB,1259,,,https://2a.zol-img.com.cn/product/259_320x240/464/ceHvgXMO8ftwg.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",台式机,暂无数据,DDR5,8000MHz
金邦巨蟹 DDR5 5600 32GB（2×16GB）,669,499.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082810568090.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
金邦巨蟹 DDR5 6000 32GB（2×16GB）,739,579.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082810568091.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金邦巨蟹 DDR5 6400 32GB（2×16GB）,779,599.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082810568092.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
金邦巨蟹 DDR5 6800 32GB（2×16GB）,879,879.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082810568093.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
金邦巨蟹 DDR5 7200 32GB（2×16GB）,999,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082810568094.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
金邦巨蟹 DDR5 6000 48GB（2×24GB）,749,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10092333040929.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金邦巨蟹 DDR5 6200 48GB（2×24GB）,775,,,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6200MHz",台式机,暂无数据,DDR5,6200MHz
金邦巨蟹 DDR5 6400 48GB（2×24GB）,849,929.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10094454414693.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
金邦巨蟹 DDR5 6400 64GB（2×32GB）,1498,1599.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082810568095.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
金邦巨蟹 DDR5 5600 96GB（2×48GB）,2999,1799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10089832459588.html,https://2c.zol-img.com.cn/product/259_320x240/448/ceiEzinGIGvEE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
金邦巨蟹 RGB DDR5 6000 32GB（2×16GB）,689,649.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10089934153954.html,https://2e.zol-img.com.cn/product/259_320x240/444/ceay3ah9mo6Y.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
金邦巨蟹 RGB DDR5 6400 32GB（2×16GB）,829,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082810568096.html,https://2e.zol-img.com.cn/product/259_320x240/444/ceay3ah9mo6Y.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
金邦巨蟹 RGB DDR5 6800 32GB（2×16GB）,949,929.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082810568097.html,https://2e.zol-img.com.cn/product/259_320x240/444/ceay3ah9mo6Y.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
